frame,wall_ms,mode,success,message,det_valid,det_tracking,det_stable,det_corners,pose_corners,num_points,num_inliers,mean_err,max_err,confidence,persistent_count
1,539.1,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
2,95.7,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
3,85.8,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
4,92.0,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
5,91.9,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
6,96.8,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
7,105.8,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
8,102.8,DETECTING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
9,99.9,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
10,96.2,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
11,94.8,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
12,88.6,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
13,92.9,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
14,92.6,LOST,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,0
15,106.2,TRACKING,1,Pose estimation successful.,1,0,0,35,35,35,35,0.264,0.829,0.974,35
16,123.7,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,33,33,33,33,0.157,0.333,0.837,35
17,84.6,TRACKING,1,Pose estimation successful.,1,0,0,33,28,28,28,0.212,0.615,0.939,28
18,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.145,0.367,0.985,35
19,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.153,0.364,0.985,35
20,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.186,0.535,0.981,35
21,87.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.178,0.351,0.982,35
22,85.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.185,0.553,0.982,35
23,87.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.127,0.349,0.987,35
24,86.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.180,0.522,0.982,35
25,87.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.148,0.270,0.985,35
26,85.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.199,0.570,0.980,35
27,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.241,0.575,0.976,35
28,84.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.201,0.444,0.980,35
29,85.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.224,0.459,0.978,35
30,85.9,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,34,34,34,34,0.419,0.937,0.814,35
31,85.6,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,31,31,31,31,0.330,0.625,0.822,35
32,87.3,TRACKING,1,Pose estimation successful.,1,0,0,33,28,28,28,0.213,0.856,0.939,28
33,84.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.152,0.375,0.985,35
34,84.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.165,0.395,0.983,35
35,84.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.139,0.330,0.986,35
36,83.5,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.218,0.476,0.978,35
37,84.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.220,0.713,0.978,35
38,84.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.158,0.321,0.984,35
39,85.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.267,0.544,0.973,35
40,84.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.262,0.573,0.974,35
41,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.232,0.534,0.977,35
42,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.215,0.440,0.979,35
43,86.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.229,0.436,0.977,35
44,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.256,0.652,0.974,35
45,83.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.289,0.698,0.971,35
46,84.3,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.318,1.028,0.968,35
47,85.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.302,0.501,0.970,35
48,86.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.233,0.481,0.977,35
49,84.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.239,0.581,0.976,35
50,85.3,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.218,0.453,0.978,35
51,85.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.288,0.520,0.971,35
52,84.9,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.177,0.395,0.982,35
53,83.5,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.211,0.423,0.979,35
54,84.3,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.206,0.492,0.979,35
55,85.3,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.244,0.740,0.976,35
56,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.276,0.747,0.972,35
57,85.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.257,0.622,0.974,35
58,86.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.336,0.791,0.966,35
