candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
0,221,0.016000,0,,0.729527,48.000000,31.000000,1.000000,6554.728941,952.372911,550.264251,0.496286,0.509976,0.122320,0.333638,314.473572,0.291179,0.015054,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
1,224,0.141000,0,,0.728877,48.000000,31.000000,1.000000,6457.808548,954.473647,549.897741,0.497381,0.509636,0.121924,0.333337,315.591614,0.292214,0.014122,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
2,227,0.250000,0,,0.729958,48.000000,31.000000,1.000000,6341.785037,952.972844,550.421795,0.496599,0.510122,0.122650,0.334059,313.574463,0.290347,0.015101,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
3,229,0.344000,0,,0.730275,48.000000,31.000000,1.000000,6445.035503,951.361373,549.787759,0.495759,0.509535,0.122937,0.334357,313.856628,0.290608,0.014758,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
4,232,0.453000,0,,0.727980,48.000000,31.000000,1.000000,6271.043742,955.828094,548.510677,0.498087,0.508351,0.121459,0.333060,317.755066,0.294218,0.012116,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
5,235,0.578000,0,,0.726624,48.000000,31.000000,1.000000,6313.874327,958.596143,548.444597,0.499529,0.508290,0.120449,0.332200,319.476807,0.295812,0.011742,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
6,238,0.687000,0,,0.728296,48.000000,31.000000,1.000000,5811.655107,961.882697,547.241178,0.501242,0.507174,0.121918,0.333501,320.167725,0.296452,0.010297,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
7,241,0.812000,0,,0.703222,44.000000,30.000000,0.916667,6147.590066,968.079978,544.475475,0.504471,0.504611,0.125242,0.336450,317.489807,0.293972,0.009083,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
8,244,0.922000,0,,0.707050,44.000000,30.000000,0.916667,5988.208691,972.337082,545.864479,0.506689,0.505898,0.127808,0.338803,312.577148,0.289423,0.012613,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
9,246,1.016000,0,,0.737766,48.000000,31.000000,1.000000,5946.748461,974.971128,545.035404,0.508062,0.505130,0.128908,0.339736,311.626892,0.288543,0.013514,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
10,249,1.125000,0,,0.738565,48.000000,31.000000,1.000000,5789.883732,980.429111,544.047728,0.510906,0.504215,0.129177,0.339562,312.086426,0.288969,0.016535,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
11,251,1.219000,0,,0.709659,44.000000,30.000000,0.916667,5771.289389,982.241567,543.903874,0.511851,0.504081,0.129241,0.339406,312.287781,0.289155,0.017726,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
12,254,1.328000,0,,0.741916,48.000000,31.000000,1.000000,5295.177123,990.530085,544.266832,0.516170,0.504418,0.130947,0.340797,309.595764,0.286663,0.023706,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
13,257,1.453000,0,,0.745889,48.000000,31.000000,1.000000,5429.926591,998.550606,547.590815,0.520349,0.507498,0.133224,0.343336,303.108948,0.280656,0.030670,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
14,260,1.562000,0,,0.746775,48.000000,31.000000,1.000000,5586.106246,1001.011965,550.020057,0.521632,0.509750,0.133577,0.343865,300.668091,0.278396,0.033556,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
15,263,1.687000,0,,0.715683,44.000000,30.000000,0.916667,5236.714101,999.429099,555.884908,0.520807,0.515185,0.131744,0.341676,297.098206,0.275091,0.036429,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
16,266,1.797000,0,,0.742970,48.000000,31.000000,1.000000,5296.922929,1000.047732,566.458925,0.521130,0.524985,0.129133,0.339302,290.356628,0.268849,0.046276,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
17,269,1.906000,0,,0.742126,48.000000,31.000000,1.000000,5705.222109,1002.037484,572.943359,0.522166,0.530995,0.127589,0.338328,286.672791,0.265438,0.053889,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
18,272,2.031000,0,,0.742795,48.000000,31.000000,1.000000,5760.449336,1004.251720,574.915142,0.523320,0.532822,0.127753,0.339394,285.171692,0.264048,0.056941,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
19,275,2.141000,0,,0.745134,48.000000,31.000000,1.000000,5269.380698,1008.836820,569.573289,0.525710,0.527871,0.129959,0.342160,288.497986,0.267128,0.053625,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
20,278,2.266000,0,,0.721051,44.000000,30.000000,0.916667,3756.021247,1024.885072,555.029053,0.534072,0.514392,0.134067,0.346381,297.402222,0.275372,0.052308,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
21,281,2.375000,0,,0.756281,48.000000,31.000000,1.000000,3905.716208,1039.906371,541.423621,0.541900,0.501783,0.137965,0.350175,304.859741,0.282278,0.059309,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
22,284,2.500000,0,,0.731480,44.000000,30.000000,0.916667,5118.146831,1054.474337,530.498929,0.549492,0.491658,0.142568,0.355194,292.736023,0.271052,0.070979,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
23,287,2.609000,1,0,0.761497,48.000000,31.000000,1.000000,5254.015172,1060.669164,525.946470,0.552720,0.487439,0.144489,0.357204,285.693420,0.264531,0.076644,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,0.537421
24,290,2.719000,0,,0.764071,48.000000,31.000000,1.000000,3829.648867,1077.184783,512.222326,0.561326,0.474719,0.151927,0.365260,263.020477,0.243537,0.093808,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 5:1,0/0/0/0,0,3,
25,292,2.812000,0,,0.751227,46.000000,30.000000,0.958333,3799.299136,1094.554295,513.026244,0.570377,0.475465,0.145481,0.359743,278.960266,0.258297,0.105404,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 5:1 5:2,0/0/0/0,0,3,
