candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,corner_radius_norm_max,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
0,374,0.031000,0,,0.782001,48.000000,31.000000,1.000000,5376.801451,937.709670,470.974744,0.488645,0.436492,0.116240,0.328060,270.626068,0.250580,0.091238,0.416998,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
1,376,0.156000,0,,0.781953,48.000000,31.000000,1.000000,5262.582684,940.159016,471.608725,0.489921,0.437079,0.116380,0.328131,270.916687,0.250849,0.090117,0.415475,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
2,378,0.265000,0,,0.781335,48.000000,31.000000,1.000000,5253.629577,939.523514,472.143361,0.489590,0.437575,0.116047,0.327887,272.190979,0.252029,0.089501,0.414210,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
3,380,0.390000,0,,0.779952,48.000000,31.000000,1.000000,5284.176198,938.432664,472.129808,0.489022,0.437562,0.115143,0.327005,273.883148,0.253596,0.089655,0.412733,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
4,382,0.500000,0,,0.751096,44.000000,30.000000,0.916667,5354.809582,940.625866,473.053267,0.490165,0.438418,0.115567,0.327461,274.113708,0.253809,0.088194,0.411174,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
5,384,0.609000,0,,0.749627,44.000000,30.000000,0.916667,5364.293998,938.054841,474.266696,0.488825,0.439543,0.114660,0.326780,277.135559,0.256607,0.086948,0.409154,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
6,386,0.718000,0,,0.779119,48.000000,31.000000,1.000000,5214.924352,938.864178,473.726820,0.489247,0.439042,0.114846,0.326916,276.603241,0.256114,0.087538,0.409737,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
7,388,0.843000,0,,0.780142,48.000000,31.000000,1.000000,5309.338305,941.333764,472.091339,0.490533,0.437527,0.115446,0.327282,273.711273,0.253436,0.089359,0.411406,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
8,390,0.953000,0,,0.779077,48.000000,31.000000,1.000000,5307.946743,940.540886,472.865052,0.490120,0.438244,0.114795,0.326626,275.203583,0.254818,0.088447,0.409892,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
9,392,1.062000,0,,0.778431,48.000000,31.000000,1.000000,5362.155248,940.208651,473.701934,0.489947,0.439019,0.114531,0.326512,277.122162,0.256595,0.087404,0.407843,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
10,394,1.187000,0,,0.779955,48.000000,31.000000,1.000000,5255.690979,940.061770,474.117277,0.489871,0.439404,0.115486,0.327462,275.735718,0.255311,0.086884,0.409816,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
11,396,1.312000,0,,0.778347,48.000000,31.000000,1.000000,5349.450343,939.231856,475.735742,0.489438,0.440904,0.114612,0.326673,278.882446,0.258224,0.084898,0.406590,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
12,398,1.422000,0,,0.779018,48.000000,31.000000,1.000000,5335.383021,939.529212,475.104424,0.489593,0.440319,0.114988,0.327036,277.729675,0.257157,0.085675,0.407842,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
13,400,1.531000,0,,0.779335,48.000000,31.000000,1.000000,5344.222608,939.855790,475.044746,0.489763,0.440264,0.115202,0.327248,277.210663,0.256677,0.085711,0.408117,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
14,402,1.640000,0,,0.779018,48.000000,31.000000,1.000000,5424.788321,938.520301,475.213132,0.489067,0.440420,0.114952,0.327015,277.940369,0.257352,0.085666,0.408152,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
15,404,1.750000,0,,0.779659,48.000000,31.000000,1.000000,5388.279665,940.709109,475.040088,0.490208,0.440260,0.115440,0.327428,276.868927,0.256360,0.085613,0.408236,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
16,406,1.875000,0,,0.779185,48.000000,31.000000,1.000000,5362.284714,941.465837,475.315235,0.490602,0.440515,0.115243,0.327220,277.685181,0.257116,0.085168,0.406769,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
17,408,1.984000,0,,0.727528,42.000000,29.000000,0.875000,5355.168755,952.857287,485.294542,0.496538,0.449763,0.113501,0.325756,284.003845,0.262967,0.071214,0.368987,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
18,410,2.093000,0,,0.778917,48.000000,31.000000,1.000000,5313.490606,942.147110,475.908927,0.490957,0.441065,0.115171,0.327190,278.448334,0.257823,0.084322,0.405601,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
19,412,2.218000,0,,0.778701,48.000000,31.000000,1.000000,5352.532280,942.843067,476.240393,0.491320,0.441372,0.115118,0.327083,278.871857,0.258215,0.083816,0.404617,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
20,414,2.328000,0,,0.779266,48.000000,31.000000,1.000000,5326.030451,942.954980,476.527375,0.491378,0.441638,0.115502,0.327448,278.480347,0.257852,0.083432,0.405086,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
