image_index,image_path,valid,num_charuco,num_aruco,centroid_u,centroid_v,bbox_area_norm,grid_col,grid_row,initial_train_error_px,kept_rational8_all,kept_rational8_trim05_fov,kept_rational8_trim10_fov,kept_rational8_trim15_fov,kept_rational8_trim20_fov,kept_rational8_trim30_fov
0,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_000_frame_000254.png,1,48,31,949.1718940734863,721.7076899210612,0.12918948596003316,2,2,0.16897054016590118,1,1,1,1,1,1
1,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_001_frame_000294.png,1,48,31,904.6042620340983,682.3613363901774,0.15415569746266422,2,2,0.35453590750694275,1,1,1,0,0,0
2,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_002_frame_000314.png,1,48,31,833.1278896331787,664.1697597503662,0.13771792695607776,2,2,0.37899479269981384,1,1,0,0,0,0
3,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_003_frame_000354.png,1,48,31,765.3995348612467,574.2787863413492,0.16923713238041757,1,2,0.27775710821151733,1,1,1,1,1,1
4,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_004_frame_000368.png,1,48,31,755.9603315989176,577.9470755259196,0.18974365867148058,1,2,0.22987376153469086,1,1,1,1,1,1
5,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_005_frame_000414.png,1,48,31,844.2479184468588,580.9773298899332,0.14951258458717212,2,2,0.23510105907917023,1,1,1,1,1,1
6,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_006_frame_000454.png,1,48,31,942.8589960734049,596.1560986836752,0.16409846721405671,2,2,0.5013728737831116,1,0,0,0,0,0
7,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_007_frame_000479.png,1,48,31,1072.8613764444988,598.5484390258789,0.17020307030902193,2,2,0.30510884523391724,1,1,1,1,0,0
8,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_008_frame_000489.png,1,48,31,1139.5900853474934,643.445660909017,0.1401185196900491,2,2,0.2769331932067871,1,1,1,1,1,1
9,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_009_frame_000525.png,1,48,31,1257.7364082336426,645.4013576507568,0.1296055917667633,3,2,0.2204124927520752,1,1,1,1,1,1
10,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_010_frame_000540.png,1,48,31,1282.0657208760579,627.6313317616781,0.1604651594210332,3,2,0.2960539162158966,1,1,1,1,1,0
11,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_011_frame_000565.png,1,48,31,1350.7272237141926,603.7672182718912,0.1880155750343944,3,2,0.18736045062541962,1,1,1,1,1,1
12,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_012_frame_000599.png,1,48,31,1389.0762532552083,547.193328221639,0.16415134462209585,3,2,0.237946555018425,1,1,1,1,1,1
13,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_013_frame_000614.png,1,48,31,1377.3226114908855,527.1411660512289,0.14641273428089874,3,1,0.21777082979679108,1,1,1,1,1,1
14,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_014_frame_000641.png,1,48,31,1363.8326212565105,464.90844535827637,0.11642399798533815,3,1,0.19097678363323212,1,1,1,1,1,1
15,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_015_frame_000739.png,1,48,31,1334.6722170511882,275.82101853688556,0.13798522496159016,3,1,0.29334402084350586,1,1,1,1,1,0
16,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_016_frame_000853.png,1,48,31,1109.876574198405,314.94267177581787,0.13726914587680822,2,1,0.18043196201324463,1,1,1,1,1,1
17,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_017_frame_000919.png,1,48,31,935.6403503417969,348.9334915479024,0.143514600130117,2,1,0.2572513520717621,1,1,1,1,1,1
18,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_018_frame_001096.png,1,48,31,1003.1613756815592,215.86203082402548,0.10013924280930951,2,0,0.2436746209859848,1,1,1,1,1,1
19,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_019_frame_001197.png,1,48,31,789.6983388264974,298.2545304298401,0.12754364099310075,2,1,0.19542519748210907,1,1,1,1,1,1
20,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\data\realsense\realsense_camera_calibration_diagnostics\selected_views\selected_020_frame_001253.png,1,48,31,704.5735734303793,341.5412967999776,0.1612025153881573,1,1,0.2523938715457916,1,1,1,1,1,1
