label,frame,valid,rel_x_mm,rel_y_mm,rel_z_mm,abs_x_mm,abs_y_mm,abs_z_mm,point_count,inlier_count,reproj_mean_px,reproj_p95_px,centroid_u_px,centroid_v_px,span_u_px,span_v_px
logged,1597,1,0.0,0.0,0.0,92.97907702499447,44.07604671931078,-141.0324005075313,54,,0.735,1.919,1553.194,688.853,132.852,279.107
logged,1598,1,0.03835312401737667,-0.016105104522907254,0.05704965807444751,93.01743014901184,44.059941614787874,-140.97535084945685,54,,0.742,1.908,1553.201,688.894,132.771,279.06
logged,1599,1,0.0147540990965922,-0.015400205383777177,0.010869693371148514,92.99383112409106,44.060646513927004,-141.02153081416014,54,,0.732,1.901,1553.186,688.853,132.822,279.122
logged,1600,1,0.046937621086925674,-0.023154055116933137,0.08196187807959632,93.02601464608139,44.05289266419385,-140.9504386294517,54,,0.717,1.9,1553.183,688.829,132.746,279.098
logged,1601,1,0.05574010503453053,-0.043646403470589235,0.08035566037816011,93.034817130029,44.03240031584019,-140.95204484715313,54,,0.711,1.914,1553.231,688.843,132.751,279.12
logged,1602,1,0.025013533344520056,0.006162529599436084,0.01985815647429945,93.00409055833899,44.08220924891022,-141.012542351057,54,,0.728,1.912,1553.263,688.864,132.788,279.136
logged,1603,1,0.03902704330916151,0.0016412966707548549,0.004918946613145181,93.01810406830363,44.077688015981536,-141.02748156091815,53,,0.729,1.911,1552.593,690.876,132.747,279.151
logged,1604,1,0.05983874371349884,-0.007325194102918431,0.04161329453603457,93.03891576870797,44.06872152520786,-140.99078721299526,53,,0.735,1.925,1552.59,690.925,132.78,279.083
logged,1605,1,0.027720644418209872,-0.022591868209985932,-0.016827755757162777,93.00679766941268,44.053454851100796,-141.04922826328846,53,,0.737,1.908,1552.581,690.887,132.821,279.13
logged,1606,1,0.07719779138491845,-0.005295426955242988,0.07722991297836757,93.05627481637939,44.07075129235554,-140.95517059455292,53,,0.742,1.933,1552.577,690.945,132.841,279.06
logged,1607,1,0.031873523321650055,0.00879527716926276,0.016392730418630208,93.01095054831612,44.084841996480044,-141.01600777711266,53,,0.719,1.937,1552.546,690.972,132.854,279.113
logged,1608,1,0.06448944735407736,-0.00833768274411284,0.0924694231972012,93.04356647234854,44.06770903656667,-140.9399310843341,53,,0.716,1.921,1552.559,690.944,132.875,279.074
logged,1609,1,0.045602576560398234,-0.022719883167283683,0.05540949304869969,93.02467960155487,44.0533268361435,-140.9769910144826,53,,0.713,1.916,1552.531,690.844,132.835,279.116
logged,1610,1,0.07490319052969596,-0.0181219100532104,0.09381955246368534,93.05398021552416,44.05792480925757,-140.9385809550676,53,,0.721,1.913,1552.58,690.924,132.74,279.065
logged,1611,1,0.05685382174223719,-0.005260855815052423,0.04996965428526323,93.0359308467367,44.07078586349573,-140.98243085324603,53,,0.728,1.994,1552.575,690.936,132.798,279.138
logged,1612,1,0.0985606586566945,-0.024838149593335856,0.12487138539279385,93.07763768365116,44.051208569717446,-140.9075291221385,53,,0.715,1.914,1552.592,690.948,132.799,279.149
